Nom de l'établissement,ville,region,latitude,longitude,surface
Médiathèque de Pacé,Pacé,Normandie,48.445087,-0.00084,123.0
Point Lecture de Gondrin,Gondrin,Occitanie,43.886717,0.237794,45.0
Médiathèque de Boma,Saint-Denis-de-Pile,Nouvelle-Aquitaine,44.992229,-0.205337,700.0
Bibliothèque municipale de Rodome,Rodome,Occitanie,42.806537,2.069097,0.0
Bibliothèque Municipale De Lalande En Son,Lalande-en-Son,Hauts-de-France,49.390508,1.782243,200.0
Médiathèque de Castres-Sidobre,Castres,Occitanie,43.60731,2.25219,4633.0
Bibliothèque (Antenne de la Bdp),Valserhône,Auvergne-Rhône-Alpes,46.122378,5.80964,
BIBLIOTHEQUE LA PYRAMIDE,Vénissieux,Auvergne-Rhône-Alpes,45.691706,4.872462,55.0
Médiathèque de Saint Eloi,Poitiers,Nouvelle-Aquitaine,46.589847,0.38292,800.0
Le relais de la Poste,Hèches,Occitanie,43.018962,0.372487,55.0
